Orcs Must Die!;24.2
Blockstorm;5.54
Overcooked! 2;1705.88
Serious Sam 2;45.95
F.E.A.R. 3;42.07
Lucy -The Eternity She Wished For-;9.9
Supreme Commander 2;289.33
Sunless Sea;83.19
Jotun: Valhalla Edition;12.29
FINAL FANTASY VIII;161.26
This Is the Police;74.34
Broken Age;15.27
Book of Demons;83.32
Riders of Icarus;382.81
Tales of Zestiria;74.7
Far Cry 2;74.57
RUINER;25.25
Tower Unite;247.44
Zombie Panic! Source;48.91
Race The Sun;9.29
RUNNING WITH RIFLES;96.77
The Way of Life Free Edition;1.93
Half-Life: Opposing Force;195.07
Darksiders Warmastered Edition;165.03
Into the Breach;355.54
Superflight;30.63
Stonehearth;259.2
Hatoful Boyfriend;7.95
METAL SLUG 3;17.62
Unheard;581.33
Bit Blaster XL;5.75
Saints Row: Gat out of Hell;30.89
Lethal League;14.15
Never Alone (Kisima Ingitchuna);10.64
MapleStory 2;568.96
Timberman;5
Cave Story+;14.58
Kingdom Rush;81.58
Rebel Galaxy;71.12
Hammerwatch;27.35
The Escapists 2;498.07
Recettear: An Item Shop's Tale;37.34
The Mean Greens - Plastic Warfare;24.03
Devil MayCry 4 Special Edition;108.05
Mutant Year Zero: Road to Eden;155.87
Pit People;54.36
Gauntlet™ ;64.3
The Incredible Adventures of Van Helsing;65.09
Supreme Commander: Forged Alliance;490.96
GRID Autosport;91.95
Resident Evil Revelations;95.03
<U+53E4><U+5251><U+5947><U+8C2D><U+4E09>(Gujian3);822.25
Killer is Dead;15.15
Reigns;24.26
Five Nights at Freddy's 3;9.87
Fran Bow;40.93
Guacamelee! Gold Edition;10.8
CS2D;41.46
Magicka 2;98.32
Art of War: Red Tides;23.73
Next Day: Survival;40.01
Her Story;21.08
Dead Bits;890.56
South Park The Fractured But Whole;343.98
Genital Jousting;17.36
The Ship;13.53
Rivals of Aether;305.42
War Trigger 3;24.43
Road Redemption;60.53
Company of Heroes - Legacy Edition;104.37
Five Nights at Freddy's: Sister Location;28.23
Fallout 2;141.86
Elsword;437.82
Paint the Town Red;200.65
Life is Strange 2;473.33
Gorogoa;16.7
Grand Theft Auto III;115.32
The Silent Age;6.85
Party Hard;28.32
Faeria;61.98
Sonic Adventure™ 2 ;132.43
Hentai Girl;20.08
Dead or Alive 5 Last Round;38.01
Ballistic Overkill;38.82
ACE COMBAT™ 7: SKIES UNKNOWN;463.9
Kingdom: New Lands;118.9
Dark and Light;355.63
Mandagon;1.68
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition;189.61
Serena;2.61
Gaokao.Love.100Days;18.63
Vampyr;186.06
Line of Sight;52.09
Dragonia;12.03
Zup! 2;4.9
SimplePlanes;220.46
Hidden Folks;37.96
Styx: Master of Shadows;77.22
Clustertruck;49.99
Democracy 3;60.72
Downwell;18.37
CastleMiner Z;29.38
Slender: The Arrival;10.8
Devil Daggers;17.82
